,0,1,2,3,4,5,6,7,8,9
0,59.988,-0.000,-0.000,-0.000,-59.988,-0.000,-0.000,-0.000,-0.000,-0.000
1,-0.000,59.988,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-59.988
2,-0.000,-0.000,59.988,-0.000,-0.000,-0.000,-0.000,-0.000,-59.988,-0.000
3,-0.000,-0.000,-0.000,99.966,-40.000,-0.000,-0.000,-0.000,-0.000,-0.000
4,-59.988,-0.000,-0.000,-40.000,199.957,-100.000,-0.000,-0.000,-0.000,-0.000
5,-0.000,-0.000,-0.000,-0.000,-100.000,117.981,-18.182,-0.000,-0.000,-0.000
6,-0.000,-0.000,-0.000,-0.000,-0.000,-18.182,35.979,-18.182,-0.000,-0.000
7,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-18.182,117.981,-100.000,-0.000
8,-0.000,-0.000,-59.988,-0.000,-0.000,-0.000,-0.000,-100.000,199.957,-40.000
9,-0.000,-59.988,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-40.000,99.966
