,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,6.025,-4.999,0.000,0.000,-1.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-4.999,9.521,-1.135,-1.686,-1.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,-1.135,3.121,-1.986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,-1.686,-1.986,10.513,-6.841,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000
4,-1.026,-1.701,0.000,-6.841,9.568,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,6.580,0.000,0.000,0.000,0.000,-1.955,-1.526,-3.099,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.326,-3.902,0.000,0.000,0.000,-1.424
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.902,5.783,-1.881,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,-1.955,0.000,0.000,0.000,-1.881,3.836,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,-1.526,0.000,0.000,0.000,0.000,0.000,4.015,-2.489,0.000
12,0.000,0.000,0.000,0.000,0.000,-3.099,0.000,0.000,0.000,0.000,0.000,-2.489,6.725,-1.137
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.424,0.000,0.000,0.000,-1.137,2.561
