,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,Iterations,,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,Iterations
0,1.0,3.0,1.03,0.0,691.2855387024524,97.73942080632327,3,,1.0,3.0,1.03,0.0,691.2875043988769,97.7464612413414,9
1,2.0,2.0,1.01,-9.342180553445324,699.9999999998284,28.970337669828595,3,,2.0,2.0,1.01,-9.342244474097713,700.0106827127992,28.981725423008942,9
2,3.0,2.0,1.03,-19.01390740192265,718.9999999999742,131.97548615301713,3,,3.0,2.0,1.03,-19.01501033709875,719.0074265000302,131.97461797534876,9
3,4.0,2.0,1.01,-29.082753017604592,699.9999999999769,96.2072409381165,3,,4.0,2.0,1.01,-29.084027451713748,700.0163216945184,96.20544550861419,9
4,5.0,0.0,1.020333884119586,-6.295211339760146,-6.049803346181256e-10,8.194686733593345e-10,3,,5.0,0.0,1.0203327864178195,-6.295236112775808,0.007155517245849002,-0.003370588437261407,9
5,6.0,0.0,1.0118361570412258,-15.898693984162477,-1.4915333061301153e-09,2.7233781126883786e-10,3,,6.0,0.0,1.011834491117928,-15.898869245382256,0.024399850906181558,-0.002128575163302278,9
6,7.0,0.0,1.0213241852639936,-23.649738443000498,-966.999999998536,-99.99999999843321,3,,7.0,0.0,1.0213220843949653,-23.650184489250197,-967.0223006317002,-99.99349473959329,9
7,8.0,0.0,1.0095465491712312,-31.662165614620346,6.519560180721941e-10,1.1286756065543363e-10,3,,8.0,0.0,1.0095451924222105,-31.66306022459542,0.009258384866135061,0.006403476513908053,9
8,9.0,0.0,1.0025374727353598,-43.80298410435112,-1766.9999999992028,-99.99999999998775,3,,9.0,0.0,1.0025383666564192,-43.80481095306775,-1767.097458271519,-99.96769094122051,9
9,10.0,0.0,1.0008121218857922,-35.71180922788754,-1.4221099351565394e-10,1.903213919293234e-11,3,,10.0,0.0,1.000812727227652,-35.71323489551605,0.03745156234318403,0.01175817882565339,9
10,11.0,0.0,1.015330842928441,-25.594995352341293,-5.951844910294326e-11,1.229021868556952e-10,3,,11.0,0.0,1.0153311202665505,-25.59616475804462,0.011105169799096946,0.0025886639351246897,9
